Target,gene
NCBP2,LSM5
SF3A2,LSM5
DDX23,LSM5
PRPF31,LSM5
LSM6,LSM5
PRPF19,LSM5
SNRPD3,LSM5
PRPF4,LSM5
LUC7L,LSM5
SF3A3,LSM5
SNRPF,LSM5
TAF12,GTF2H2
POLR2B,GTF2H2
MNAT1,GTF2H2
POLR2C,GTF2H2
XAB2,GTF2H2
GTF2H2C,GTF2H2
CDK7,GTF2H2
NCBP2,GTF2H2
POLR2A,GTF2H2
POLR2H,GTF2H2
SUPT5H,GTF2H2
GTF2F2,GTF2H2
POLR2F,GTF2H2
CCNH,GTF2H2
SSRP1,GTF2H2
TAF7,GTF2H2
POLR2J,GTF2H2
POLR2I,GTF2H2
SUPT16H,GTF2H2
TAF4,GTF2H2
POLR2G,GTF2H2
HNRNPR,HNRNPA0
POLR2B,HNRNPA0
POLR2C,HNRNPA0
SRSF5,HNRNPA0
SRSF4,HNRNPA0
HNRNPU,HNRNPA0
HNRNPF,HNRNPA0
SNRNP200,HNRNPA0
SF3A1,HNRNPA0
HNRNPA1,HNRNPA0
HNRNPK,HNRNPA0
NCBP2,HNRNPA0
SRSF7,HNRNPA0
POLR2A,HNRNPA0
POLR2H,HNRNPA0
HNRNPM,HNRNPA0
SF3A2,HNRNPA0
SNRPB2,HNRNPA0
DDX23,HNRNPA0
GTF2F2,HNRNPA0
POLR2F,HNRNPA0
HNRNPH1,HNRNPA0
SNRPD3,HNRNPA0
PRPF4,HNRNPA0
POLR2J,HNRNPA0
POLR2I,HNRNPA0
PCBP1,HNRNPA0
SNU13,HNRNPA0
SRSF11,HNRNPA0
SF3A3,HNRNPA0
SNRPF,HNRNPA0
POLR2G,HNRNPA0
HNRNPH2,HNRNPA0
TAF12,GTF2H3
POLR2B,GTF2H3
MNAT1,GTF2H3
POLR2C,GTF2H3
XAB2,GTF2H3
GTF2H2C,GTF2H3
CDK7,GTF2H3
NCBP2,GTF2H3
POLR2A,GTF2H3
POLR2H,GTF2H3
SUPT5H,GTF2H3
GTF2F2,GTF2H3
POLR2F,GTF2H3
CCNH,GTF2H3
SSRP1,GTF2H3
TAF7,GTF2H3
POLR2J,GTF2H3
POLR2I,GTF2H3
SUPT16H,GTF2H3
TAF4,GTF2H3
POLR2G,GTF2H3
GTF2H2,GTF2H3
TAF12,TAF6
POLR2B,TAF6
MNAT1,TAF6
POLR2C,TAF6
GTF2H2C,TAF6
CDK7,TAF6
NCBP2,TAF6
ENSG00000215719,TAF6
POLR2A,TAF6
POLR2H,TAF6
SUPT5H,TAF6
GTF2F2,TAF6
POLR2F,TAF6
CCNH,TAF6
ING2,TAF6
TAF7,TAF6
LUC7L,TAF6
POLR2J,TAF6
POLR2I,TAF6
TAF9B,TAF6
TAF4,TAF6
POLR2G,TAF6
GTF2H2,TAF6
GTF2H3,TAF6
HNRNPR,SNRPD2
POLR2B,SNRPD2
POLR2C,SNRPD2
YJU2,SNRPD2
PRPF40A,SNRPD2
SRSF5,SNRPD2
SRSF4,SNRPD2
HNRNPU,SNRPD2
XAB2,SNRPD2
CWC22,SNRPD2
GTF2H2C,SNRPD2
HNRNPF,SNRPD2
SNRNP200,SNRPD2
SF3A1,SNRPD2
HNRNPA1,SNRPD2
HNRNPK,SNRPD2
NCBP2,SNRPD2
SRSF7,SNRPD2
POLR2A,SNRPD2
POLR2H,SNRPD2
HNRNPM,SNRPD2
SF3A2,SNRPD2
SNRPB2,SNRPD2
DDX23,SNRPD2
GTF2F2,SNRPD2
POLR2F,SNRPD2
HNRNPH1,SNRPD2
PRPF31,SNRPD2
LSM6,SNRPD2
PRPF19,SNRPD2
SNRPD3,SNRPD2
PRPF4,SNRPD2
LUC7L,SNRPD2
POLR2J,SNRPD2
POLR2I,SNRPD2
PCBP1,SNRPD2
SNU13,SNRPD2
SRSF11,SNRPD2
SF3A3,SNRPD2
SNRPF,SNRPD2
POLR2G,SNRPD2
HNRNPH2,SNRPD2
LSM5,SNRPD2
GTF2H2,SNRPD2
HNRNPA0,SNRPD2
GTF2H3,SNRPD2
POLR2B,RNGTT
MNAT1,RNGTT
POLR2C,RNGTT
HNRNPF,RNGTT
CDK7,RNGTT
SNRNP200,RNGTT
HNRNPK,RNGTT
NCBP2,RNGTT
POLR2A,RNGTT
POLR2H,RNGTT
SUPT5H,RNGTT
GTF2F2,RNGTT
POLR2F,RNGTT
CCNH,RNGTT
POLR2J,RNGTT
POLR2I,RNGTT
PCBP1,RNGTT
SUPT16H,RNGTT
POLR2G,RNGTT
GTF2H2,RNGTT
HNRNPA0,RNGTT
GTF2H3,RNGTT
HNRNPR,SRRM1
POLR2B,SRRM1
MNAT1,SRRM1
POLR2C,SRRM1
SRSF5,SRRM1
SRSF4,SRRM1
HNRNPU,SRRM1
HNRNPF,SRRM1
CDK7,SRRM1
SNRNP200,SRRM1
SF3A1,SRRM1
HNRNPA1,SRRM1
HNRNPK,SRRM1
NCBP2,SRRM1
SRSF7,SRRM1
POLR2A,SRRM1
POLR2H,SRRM1
HNRNPM,SRRM1
SF3A2,SRRM1
SNRPB2,SRRM1
DDX23,SRRM1
GTF2F2,SRRM1
POLR2F,SRRM1
HNRNPH1,SRRM1
CCNH,SRRM1
SNRPD3,SRRM1
PRPF4,SRRM1
POLR2J,SRRM1
POLR2I,SRRM1
PCBP1,SRRM1
SNU13,SRRM1
SRSF11,SRRM1
SF3A3,SRRM1
SNRPF,SRRM1
POLR2G,SRRM1
HNRNPH2,SRRM1
HNRNPA0,SRRM1
SNRPD2,SRRM1
TAF12,CPSF3
HNRNPR,CPSF3
POLR2B,CPSF3
POLR2C,CPSF3
SRSF5,CPSF3
SRSF4,CPSF3
HNRNPU,CPSF3
HNRNPF,CPSF3
SNRNP200,CPSF3
SF3A1,CPSF3
HNRNPA1,CPSF3
HNRNPK,CPSF3
NCBP2,CPSF3
SRSF7,CPSF3
POLR2A,CPSF3
POLR2H,CPSF3
HNRNPM,CPSF3
SF3A2,CPSF3
SNRPB2,CPSF3
DDX23,CPSF3
GTF2F2,CPSF3
POLR2F,CPSF3
HNRNPH1,CPSF3
SNRPD3,CPSF3
PRPF4,CPSF3
POLR2J,CPSF3
POLR2I,CPSF3
PCBP1,CPSF3
SNU13,CPSF3
SRSF11,CPSF3
SF3A3,CPSF3
SNRPF,CPSF3
POLR2G,CPSF3
HNRNPH2,CPSF3
HNRNPA0,CPSF3
TAF6,CPSF3
SNRPD2,CPSF3
SRRM1,CPSF3
HNRNPR,PRPF6
POLR2B,PRPF6
POLR2C,PRPF6
YJU2,PRPF6
PRPF40A,PRPF6
SRSF5,PRPF6
SRSF4,PRPF6
HNRNPU,PRPF6
XAB2,PRPF6
CWC22,PRPF6
HNRNPF,PRPF6
SNRNP200,PRPF6
SF3A1,PRPF6
HNRNPA1,PRPF6
HNRNPK,PRPF6
NCBP2,PRPF6
SRSF7,PRPF6
POLR2A,PRPF6
POLR2H,PRPF6
HNRNPM,PRPF6
SF3A2,PRPF6
SNRPB2,PRPF6
DDX23,PRPF6
GTF2F2,PRPF6
POLR2F,PRPF6
HNRNPH1,PRPF6
PRPF31,PRPF6
LSM6,PRPF6
PRPF19,PRPF6
SNRPD3,PRPF6
PRPF4,PRPF6
LUC7L,PRPF6
POLR2J,PRPF6
POLR2I,PRPF6
PCBP1,PRPF6
SNU13,PRPF6
SRSF11,PRPF6
SF3A3,PRPF6
SNRPF,PRPF6
POLR2G,PRPF6
HNRNPH2,PRPF6
LSM5,PRPF6
HNRNPA0,PRPF6
SNRPD2,PRPF6
RNGTT,PRPF6
SRRM1,PRPF6
CPSF3,PRPF6
HNRNPR,SNRNP70
POLR2B,SNRNP70
POLR2C,SNRNP70
