ID	6782	5912	6163	5666	6536	3779	5797	6607	6533	4947	5344	6197	6651	6715	6172	6460	6298	6652	3713	4952	6600	6676	6628
ABCB4	5.2910	4.4910	31.0853	2.0377	55.0382	18.7647	37.2162	49.6568	20.5198	32.1217	38.9594	24.9387	63.2395	26.9771	13.4027	56.8300	100.2227	26.3273	20.0755	15.5546	26.7289	107.7253	4.5605
ABCB5	7.0547	0.0000	0.4037	0.0000	0.0000	0.0000	1.1165	7.1793	0.0000	0.0000	0.9863	0.0000	18.8462	0.0000	0.9243	1.5641	0.0000	0.0000	0.3861	0.0000	1.2728	3.8627	21.9735
ABCB6	564.7134	863.8024	270.4020	350.1426	1020.8256	553.5679	492.7912	173.1707	678.4998	194.6323	209.9322	528.2420	560.4900	822.5018	409.0075	632.2419	393.9477	572.2027	95.5979	823.9378	410.8825	371.9142	330.2488
ABCB7	753.9683	379.7405	669.3439	1420.2751	272.9673	610.3727	681.8013	495.3716	311.4455	556.2130	453.7048	515.9444	571.6679	679.9704	527.7874	445.7769	521.7149	344.0105	472.9319	435.5301	586.7628	515.4506	482.1725
ABCB8	805.1146	293.9122	717.7886	632.7050	769.4232	493.6148	826.5724	547.4215	902.8728	554.5224	576.5010	845.0531	765.9931	495.9350	637.7816	692.9093	1099.6659	842.4748	1352.7782	627.9165	1086.9750	988.4120	846.6003
ABCB9	64.0344	67.4601	45.8771	93.8003	254.4322	40.4743	236.0104	452.9360	59.9179	99.2519	71.4388	253.7899	196.8715	103.4479	60.1410	50.4901	259.8274	174.3572	152.7280	212.6115	86.4743	157.0901	109.8715
ABCC10	897.7072	618.7625	705.2737	522.6694	883.3912	943.9666	781.9129	501.3543	1576.3794	768.3855	1239.7978	815.6173	677.2066	863.6364	604.9682	1733.5766	1515.0334	1222.4660	756.6910	663.5284	978.3623	536.0515	513.6816
ABCC11	1.7637	4.9900	2.0185	2.0377	1.1119	1.5637	2.9773	1.1965	0.9120	0.0000	0.9863	2.0442	0.0000	2.5868	3.6973	2.0855	1.1136	2.6327	2.3164	1.6373	2.5456	1.7167	0.0000
ABCC12	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ABCC13	16.7549	16.4671	30.2779	1.0188	3.3356	30.7532	8.5597	1.1965	7.2959	19.0194	6.4110	3.2706	0.0000	4.4346	123.3969	7.2993	3.8976	0.0000	46.3280	0.4093	16.9707	4.2918	3.7313
ABCC1	2097.4427	4170.1597	1415.7956	1398.8793	3508.5476	1650.2476	2810.9416	1534.5751	2678.5226	1688.5038	1907.0398	1697.4652	2082.7139	3644.1242	2010.3986	1897.2888	1415.3675	2158.8416	1375.1701	3027.4253	1753.0759	3537.7682	2934.0796
ABCC2	85.0970	34.9301	11.7075	741.7219	11.1188	93.3021	1301.4514	2.3931	77.5194	33.3897	16.7674	93.2134	140.2994	1822.6164	64.2403	1020.8551	16.7038	1226.8539	32.4296	43.7986	39.4569	816.7382	3.7313
ABCC3	3717.8131	1033.4331	2731.8759	1888.4361	2765.8096	1598.1235	1754.7451	2674.8870	899.2248	4720.2029	3122.1798	3985.6909	1526.1229	1631.9290	2002.5419	1351.4077	2422.6058	5212.3738	2447.2777	1509.2100	2537.5477	3021.4592	2644.6932
ABCC4	566.5785	186.6267	930.1377	1370.3515	1032.3836	985.1446	333.4574	300.3340	1175.5586	259.0871	440.8828	472.1995	1013.9252	1118.2557	671.0572	210.6361	664.8107	629.6621	242.4500	455.9967	428.5108	1300.0000	892.6202
ABCC5	953.7037	533.4331	973.7379	620.4789	826.6852	920.5108	525.1210	360.7597	589.6033	407.4387	722.9688	606.2960	822.5317	586.4745	1311.1496	541.7101	634.7439	507.2400	416.9522	243.5530	453.5426	801.7167	845.3566
ABCC6P1	58.2011	4.4910	9.6889	30.0560	7.2272	59.9427	96.0179	1.7948	46.0556	52.8318	58.6857	77.6778	54.0258	55.8019	30.5026	137.1220	13.3630	29.8376	20.0755	0.8187	7.2126	25.7511	24.0464
ABCC6P2	58.2011	40.4192	87.2004	49.9236	16.6782	99.0357	74.8046	8.9741	120.3830	47.7599	86.7957	37.6124	67.0087	128.2336	69.7863	184.5673	25.6125	49.5832	18.5312	3.2747	22.0619	79.8283	53.4826
ABCC6	339.5062	80.3393	171.9786	228.2221	67.8249	218.3998	589.1329	14.3586	268.1259	221.8935	177.0435	171.3001	275.5732	279.7487	128.9428	676.7466	68.4855	201.4041	90.3396	9.8240	77.2168	166.5236	126.4511
ABCC8	0.8818	0.0000	1.2111	1.0188	22.7936	0.0000	0.0000	1.1965	0.0000	2.1133	0.0000	3.2706	5.4445	1.4782	0.9243	10.4275	2.2272	4.3879	2.7025	40.5239	1.2728	0.0000	0.4146
ABCC9	141.9753	27.4451	27.0483	51.9613	74.4962	32.3169	96.7622	204.6100	42.8637	23.2460	74.9599	22.4857	534.3943	59.4974	48.9890	167.3618	25.6125	21.0619	31.6575	29.4720	82.3080	48.9270	46.4345
ABCD1	464.7266	280.4391	372.6203	541.0087	394.7186	562.4186	531.0755	512.1233	326.4934	283.6010	465.0475	560.9158	920.1131	473.0229	311.4962	662.6694	329.0646	536.2001	239.7475	91.6905	403.0547	421.0300	219.7347
ABCD2	38.3598	3.9920	20.1853	1.0188	0.5559	13.0310	1.8608	10.7689	5.4720	17.7515	2.4658	2.0442	26.3847	0.7391	6.4702	13.0344	1.6704	1.7552	17.7591	0.8187	5.9398	0.8584	33.9967
ABCD3	1154.3210	3053.8922	1291.0506	2110.5451	626.5462	1037.2687	1601.4142	649.7265	969.9042	1651.3102	639.6252	1600.5724	717.4118	1256.4671	2713.8070	638.1648	471.6036	978.4993	1414.1629	1435.1208	1069.1557	1078.1116	865.6716
ABCD4	366.8430	260.9780	396.0352	451.3500	731.0632	259.5778	525.1210	448.7062	393.9808	590.4480	612.0084	854.8651	420.0607	270.5100	844.8296	514.0772	778.3964	472.5757	606.5110	405.2395	609.2490	419.7425	783.1675
ABCE1	1835.0970	2483.5329	2984.9993	3530.8202	1697.2898	3219.7029	2982.8805	1391.5874	1956.6803	2978.4446	1908.0261	2395.3393	1685.6874	2396.5262	1869.9018	1079.2492	1207.6837	2053.9710	2456.1573	2609.9059	2049.6394	2095.2790	2309.7015
ABCF1	1811.7284	2105.2894	1809.0049	1583.2909	2336.6227	1996.8726	2373.2787	1541.7544	2483.8121	1975.4861	1732.4621	1293.9493	2307.6118	2157.7975	1791.3345	2144.9426	2237.1938	2053.9710	1481.7246	3435.9394	1982.1807	1563.0901	1325.8706
ABCF2	1385.3616	1523.9521	1827.9790	1980.1325	1528.2835	1091.4777	1754.0007	1511.8406	2165.9827	1246.8301	1357.1693	1483.2379	1570.5162	1436.4375	1532.5246	1778.9364	2671.4922	1825.8008	1384.0496	1212.0344	1638.9478	1691.4163	1905.4726
ABCF3	1110.2293	1019.4611	1097.6756	818.1355	955.1077	1386.4999	1052.1027	816.6452	1106.7031	872.3584	1164.3447	1109.5666	1194.4299	1120.4730	913.2293	1131.9082	1146.4365	953.4884	1011.4951	698.3217	760.7128	919.7425	1155.4726
ABCG1	1064.3739	418.1637	495.7505	339.7860	933.9819	767.7873	899.5162	1213.3014	729.1382	551.5638	538.5279	416.5985	600.1466	1779.7487	530.0982	507.8206	400.3341	706.8890	895.2890	131.8052	539.2448	560.0858	326.6998
ABCG2	23.8095	19.4611	96.8893	32.6032	16.6782	27.1045	21.5854	37.6913	19.1518	25.3593	37.9731	444.3990	30.9915	24.3902	49.4512	128.2586	3.3408	1.3164	98.0610	96.1932	296.9877	13.3047	65.0912
ABCG4	3.5273	2.9940	1.6148	1.0188	2.7797	2.6062	0.7443	7.7776	1.3680	2.1133	2.9589	2.8618	10.0513	2.5868	0.4622	4.6924	2.7840	2.1939	1.1582	2.0467	3.8184	5.1502	1.6584
ABCG5	0.4409	3.9920	2.4222	2.0377	19.4580	2.0850	9.6762	1.1965	0.4560	1.6906	0.9863	34.7506	1.2564	1.1086	2.3108	1.0428	0.5568	0.4388	6.9492	1.2280	25.0318	0.4292	0.8292
ABCG8	0.4409	0.4990	2.0185	0.0000	5.5594	0.0000	12.6535	1.7948	0.0000	0.4227	0.9863	31.0711	1.6752	0.3695	3.2351	0.5214	0.0000	0.0000	10.8099	0.4093	18.2435	0.8584	1.2438
ABHD10	550.2646	701.5968	812.6594	1037.6974	659.3468	514.9857	518.7942	421.7838	494.7560	700.3381	567.1311	417.8250	659.1980	583.1486	812.0162	385.8186	650.3341	372.0930	723.8753	815.3909	402.2062	523.6052	705.2239
ABHD11	1957.2310	1303.3932	1101.3089	1251.1462	1354.8297	623.9249	1599.5534	1391.5874	2124.0310	1933.6433	1973.6161	1832.3794	839.2838	788.2483	1142.9232	2307.0907	1891.9822	1132.5143	2104.0643	1464.1834	2002.5456	2318.4549	1234.6600
ABHD12B	0.4409	8.9820	106.9820	78.4513	139.5413	41.1780	0.3722	4.1879	0.4560	164.4125	294.9081	0.4088	0.8376	0.0000	0.0000	373.3055	0.0000	0.0000	1.9303	0.0000	174.3742	0.0000	0.4146
ABHD12	2408.2892	3255.4890	1728.2637	529.2919	1681.1675	2782.9033	3613.6956	1640.4697	3786.1377	1303.8884	3849.5870	892.0687	1265.6266	3600.5174	1422.5303	2516.1627	3341.3140	2243.0891	1074.0380	1185.0184	1527.7896	1465.6652	1569.2371
ABHD13	715.6085	890.7186	766.2333	852.2669	598.7491	450.3518	395.2363	578.5318	533.0597	1306.8470	765.3803	702.3712	453.9839	781.9660	793.0676	793.5349	547.3274	609.0391	369.0799	384.3635	637.6750	493.1330	319.6517
ABHD14A	127.5750	87.3253	77.1078	173.2043	259.0688	110.5030	224.4138	164.5256	115.8231	156.3990	226.8524	176.2061	241.2313	111.9734	138.6852	275.4275	330.9020	90.5222	173.4560	209.8117	173.7548	206.1073	370.7255
ABHD14B	3380.5115	2324.8503	2189.6992	4014.7733	1822.9326	2090.1746	1239.6725	1126.5516	2531.6917	1835.5875	1715.2016	2759.6075	1722.9609	2869.5492	3792.0277	2222.1064	2956.5702	2178.1483	2257.7189	2066.7212	2099.2787	2050.2146	2082.9187
ABHD15	375.2205	283.9321	312.4681	271.5232	293.5372	543.1327	424.2650	589.3008	513.9079	459.4252	806.3124	309.8937	354.3084	573.1707	355.8637	309.6976	302.3385	515.5770	175.6604	192.3864	470.9376	745.0644	521.5589
ABHD1	4.4092	1.4970	7.6704	7.1319	27.7971	3.1274	13.3978	1.1965	0.9120	2.1133	4.9316	4.4971	5.4445	4.8041	4.1594	10.4275	25.0557	14.4800	1.5443	0.0000	2.9699	11.1588	0.8292
ABHD2	4160.0529	5247.5050	3439.5718	5676.0061	3370.6741	3491.2692	5337.5512	7465.8722	1579.5714	14416.7371	8597.7068	7728.9452	3601.7171	4416.8514	6380.1271	3303.4411	2850.7795	4530.9346	8444.4402	6847.7282	4815.8676	2543.3476	1740.8789
ABHD3	338.6243	684.1317	561.1508	375.9552	494.7880	859.0044	655.3777	707.1609	689.9225	815.3001	726.4209	682.7473	249.1886	327.4205	873.4835	317.5182	260.0223	573.4971	949.7244	473.1887	513.3644	324.4635	875.6219
ABHD4	397.2663	346.3074	360.5091	349.9745	685.4760	338.8064	684.4064	1382.0150	222.9822	366.0186	397.9781	822.1586	738.7708	321.1382	387.7527	523.4619	320.7127	234.3133	430.0785	455.1781	739.9236	491.8455	379.7678
ABHD5	443.5626	457.0858	373.0240	334.6918	393.6067	397.7065	307.4060	648.5300	414.0447	367.7092	361.9776	352.0033	343.4195	381.7443	507.4523	208.5506	276.7261	272.9267	489.5328	450.2661	305.8973	269.9571	337.0647
ABHD6	309.5238	330.3393	163.9045	343.3520	275.1911	197.5502	350.2047	175.2945	218.8782	262.0456	163.2351	349.1415	219.4535	326.6814	250.4910	122.0021	254.4543	237.8236	167.9391	218.9930	218.4981	331.7597	186.9818
